model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.3308,,,,,0.0391,0.106
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.23420000000000002,,,,,0.1664,0.1741
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,all,1,0.5449,,0.1436,0.2266,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.15259999999999999,,,,,0.0579,0.0872
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.255,,,,,0.2541,0.2465
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,all,1,0.4395,,0.0815,0.1259,,,
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.31,,,,,0.0346,0.07519999999999999
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2191,,,,,0.1253,0.1208
OpenGVLab/InternVL3_5-4B-Instant,single-landmark,env_visibility_reasoning,all,1,0.3457,,0.1711,0.3231,,,
OpenGVLab/InternVL3_5-4B-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.3284,,,,,0.069,0.1263
OpenGVLab/InternVL3_5-4B-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.1624,,,,,0.1268,0.1307
OpenGVLab/InternVL3_5-4B-Thinking,single-landmark,env_visibility_reasoning,all,1,0.3369,,0.1725,0.3267,,,
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2741,,,,,0.08470000000000001,0.1431
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2376,,,,,0.25780000000000003,0.2609
OpenGVLab/InternVL3_5-8B-Instant,single-landmark,env_visibility_reasoning,all,1,0.5186,,0.16690000000000002,0.2132,,,
OpenGVLab/InternVL3_5-8B-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.2767,,,,,0.1225,0.1666
OpenGVLab/InternVL3_5-8B-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.2238,,,,,0.2113,0.2316
OpenGVLab/InternVL3_5-8B-Thinking,single-landmark,env_visibility_reasoning,all,1,0.4111,,0.1607,0.2541,,,
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.21239999999999998,,,,,0.2838,0.3172
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2382,,,,,0.3996,0.3452
Qwen/Qwen3.5-122B-A10B-Instant,single-landmark,env_visibility_reasoning,all,1,0.4844,,0.46659999999999996,0.4975,,,
Qwen/Qwen3.5-27B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.1462,,,,,0.2193,0.2323
Qwen/Qwen3.5-27B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.3003,,,,,0.5581,0.5071
Qwen/Qwen3.5-27B-Instant,single-landmark,env_visibility_reasoning,all,1,0.5136999999999999,,0.5217,0.4866,,,
Qwen/Qwen3.5-35B-A3B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2163,,,,,0.215,0.23
Qwen/Qwen3.5-35B-A3B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2796,,,,,0.5593,0.5065
Qwen/Qwen3.5-35B-A3B-Instant,single-landmark,env_visibility_reasoning,all,1,0.541,,0.5001,0.486,,,
Qwen/Qwen3.5-397B-A17B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0519,,,,,0.0173,0.0223
Qwen/Qwen3.5-397B-A17B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2663,,,,,0.31980000000000003,0.29960000000000003
Qwen/Qwen3.5-397B-A17B-Instant,single-landmark,env_visibility_reasoning,all,1,0.4043,,0.2122,0.3177,,,
Qwen/Qwen3.5-4B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0637,,,,,0.0131,0.013999999999999999
Qwen/Qwen3.5-4B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.1,,,,,0.0304,0.0282
Qwen/Qwen3.5-4B-Instant,single-landmark,env_visibility_reasoning,all,1,0.3389,,0.4518,0.5199,,,
Qwen/Qwen3.5-4B-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.1678,,,,,0.1769,0.1996
Qwen/Qwen3.5-4B-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.22719999999999999,,,,,0.37810000000000005,0.32270000000000004
Qwen/Qwen3.5-4B-Thinking,single-landmark,env_visibility_reasoning,all,1,0.3506,,0.33380000000000004,0.3348,,,
Qwen/Qwen3.5-4B-UAV-DualCog-GRPO-Instant,single-landmark,self_composite_instance_recognition,all,1,0.24480000000000002,,,,,0.26899999999999996,0.3005
Qwen/Qwen3.5-4B-UAV-DualCog-GRPO-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.24170000000000003,,,,,0.49079999999999996,0.4396
Qwen/Qwen3.5-4B-UAV-DualCog-GRPO-Instant,single-landmark,env_visibility_reasoning,all,1,0.3135,,0.24230000000000002,0.2974,,,
Qwen/Qwen3.5-4B-UAV-DualCog-SFT-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2432,,,,,0.2828,0.32030000000000003
Qwen/Qwen3.5-4B-UAV-DualCog-SFT-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2427,,,,,0.48310000000000003,0.4368
Qwen/Qwen3.5-4B-UAV-DualCog-SFT-Instant,single-landmark,env_visibility_reasoning,all,1,0.3154,,0.2491,0.2968,,,
Qwen/Qwen3.5-9B-Instant,single-landmark,self_composite_instance_recognition,all,1,0.0987,,,,,0.1015,0.1124
Qwen/Qwen3.5-9B-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.28850000000000003,,,,,0.5684,0.5128
Qwen/Qwen3.5-9B-Instant,single-landmark,env_visibility_reasoning,all,1,0.5068,,0.3385,0.3679,,,
Qwen/Qwen3.5-9B-Thinking,single-landmark,self_composite_instance_recognition,all,1,0.12480000000000001,,,,,0.1483,0.1534
Qwen/Qwen3.5-9B-Thinking,single-landmark,self_atomic_instance_recognition,all,1,0.2241,,,,,0.4006,0.3538
Qwen/Qwen3.5-9B-Thinking,single-landmark,env_visibility_reasoning,all,1,0.4668,,0.39990000000000003,0.3772,,,
SpaceOm-Instant,single-landmark,self_composite_instance_recognition,all,1,0.3322,,,,,0.0,0.0321
SpaceOm-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2778,,,,,0.1796,0.1398
SpaceOm-Instant,single-landmark,env_visibility_reasoning,all,1,0.3232,,0.1765,0.3423,,,
SpaceR-Instant,single-landmark,self_composite_instance_recognition,all,1,0.2397,,,,,0.0,0.0246
SpaceR-Instant,single-landmark,self_atomic_instance_recognition,all,1,0.2773,,,,,0.16519999999999999,0.1393
