model,mode,form,difficulty,count,main_metric,count_within1_acc,segment_f1@0.5,mean_best_tIoU,bbox_acc@50iou,self_temporal_loc_f1@0.5,self_temporal_loc_mean_tIoU
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,easy,178,0.06179775280898876,,,,,0.03932584269662921,0.14665638718787857
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,medium,484,0.4297520661157025,,,,,0.03971235376194054,0.10010222896282764
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,hard,9,0.3333333333333333,,,,,0.0,0.1549619857308076
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.1945397179285565,,,,,0.20876778133611376,0.2574686212675156
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.2463855944696737,,,,,0.1190126441316288,0.10654911247154167
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.303030303030303,,,,,0.0,0.05199975628519755
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.6781857451403888,0.9956803455723542,0.1820651270975245,0.2682644609725155,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.4444444444444444,0.7777777777777778,0.10532576729758596,0.19523822900009877,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.0318501872659176,0.05586930572437506,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,easy,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,medium,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,hard,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-14B-Instant,multi-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,easy,100,0.01,,,,,0.05000000000000001,0.07070701633963718
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,medium,464,0.18318965517241378,,,,,0.0603448275862069,0.08982101275366264
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,hard,6,0.16666666666666666,,,,,0.0,0.048661800486618
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,easy,463,0.21162664491056565,,,,,0.3139220793666979,0.34205710166977094
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,medium,549,0.27783387080653615,,,,,0.18649282689583238,0.16835166702324636
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,hard,12,0.2857142857142857,,,,,0.041666666666666664,0.13173156912955217
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,self_atomic_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,easy,463,0.7861771058315334,0.9438444924406048,0.06801741574959717,0.14164429727473116,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,medium,549,0.15664845173041894,0.6520947176684881,0.08942440406268529,0.11484325686953428,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,hard,12,0.0,0.0,0.0,0.020887326960072946,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,single-landmark,env_visibility_reasoning,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,1,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,2-3,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,4-5,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_composite_instance_recognition,6+,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,easy,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,medium,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,hard,0,,,,,,,
OpenGVLab/InternVL3_5-30B-A3B-Instant,multi-landmark,self_atomic_instance_recognition,1,0,,,,,,,
