model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
OpenGVLab/InternVL3_5-14B-Instant,Self-Aware,self_where,4way,512,0.224609375,0.076171875,0.208858681783651
OpenGVLab/InternVL3_5-14B-Instant,Self-Aware,self_where,8way,512,0.23046875,0.076171875,0.23551359516557377
OpenGVLab/InternVL3_5-14B-Instant,Self-Aware,self_what,4way,512,0.337890625,0.05078125,0.20856521137910233
OpenGVLab/InternVL3_5-14B-Instant,Self-Aware,self_what,8way,512,0.30078125,0.08203125,0.23113790260744832
OpenGVLab/InternVL3_5-14B-Instant,Environment-Aware,env_where,4way,512,0.365234375,0.05078125,0.13605898198992847
OpenGVLab/InternVL3_5-14B-Instant,Environment-Aware,env_where,8way,512,0.205078125,0.04296875,0.12241327236669415
OpenGVLab/InternVL3_5-14B-Instant,Environment-Aware,env_how,4way,512,0.384765625,0.05078125,0.12352215684433833
OpenGVLab/InternVL3_5-14B-Instant,Environment-Aware,env_how,8way,512,0.44140625,0.048828125,0.11541912306356156
OpenGVLab/InternVL3_5-30B-A3B-Instant,Self-Aware,self_where,4way,512,0.2734375,0.04296875,0.19412932189646717
OpenGVLab/InternVL3_5-30B-A3B-Instant,Self-Aware,self_where,8way,512,0.2734375,0.0546875,0.20470566802768508
OpenGVLab/InternVL3_5-30B-A3B-Instant,Self-Aware,self_what,4way,512,0.275390625,0.0859375,0.15730614147998576
OpenGVLab/InternVL3_5-30B-A3B-Instant,Self-Aware,self_what,8way,512,0.205078125,0.0546875,0.15305755763303994
OpenGVLab/InternVL3_5-30B-A3B-Instant,Environment-Aware,env_where,4way,512,0.3828125,0.005859375,0.07791666289388935
OpenGVLab/InternVL3_5-30B-A3B-Instant,Environment-Aware,env_where,8way,512,0.32421875,0.005859375,0.07321612621734397
OpenGVLab/InternVL3_5-30B-A3B-Instant,Environment-Aware,env_how,4way,512,0.396484375,0.015625,0.07564088416583557
OpenGVLab/InternVL3_5-30B-A3B-Instant,Environment-Aware,env_how,8way,512,0.4296875,0.009765625,0.07026933245029757
OpenGVLab/InternVL3_5-4B-Instant,Self-Aware,self_where,4way,512,0.279296875,0.037109375,0.19894736098440802
OpenGVLab/InternVL3_5-4B-Instant,Self-Aware,self_where,8way,512,0.232421875,0.025390625,0.19674084106094475
OpenGVLab/InternVL3_5-4B-Instant,Self-Aware,self_what,4way,512,0.263671875,0.09375,0.22102993481907116
OpenGVLab/InternVL3_5-4B-Instant,Self-Aware,self_what,8way,512,0.263671875,0.123046875,0.2423717542415472
OpenGVLab/InternVL3_5-4B-Instant,Environment-Aware,env_where,4way,512,0.24609375,0.01953125,0.08834711619482824
OpenGVLab/InternVL3_5-4B-Instant,Environment-Aware,env_where,8way,512,0.201171875,0.0,0.07115681736072672
OpenGVLab/InternVL3_5-4B-Instant,Environment-Aware,env_how,4way,512,0.33984375,0.009765625,0.08253138107113728
OpenGVLab/InternVL3_5-4B-Instant,Environment-Aware,env_how,8way,512,0.39453125,0.009765625,0.06727468105055699
OpenGVLab/InternVL3_5-8B-Instant,Self-Aware,self_where,4way,512,0.29296875,0.1875,0.3386631822822102
OpenGVLab/InternVL3_5-8B-Instant,Self-Aware,self_where,8way,512,0.27734375,0.20703125,0.3461601667607805
OpenGVLab/InternVL3_5-8B-Instant,Self-Aware,self_what,4way,512,0.24609375,0.087890625,0.28285408352439756
OpenGVLab/InternVL3_5-8B-Instant,Self-Aware,self_what,8way,512,0.244140625,0.07421875,0.29109442857874823
OpenGVLab/InternVL3_5-8B-Instant,Environment-Aware,env_where,4way,512,0.29296875,0.0625,0.13138617600760982
OpenGVLab/InternVL3_5-8B-Instant,Environment-Aware,env_where,8way,512,0.201171875,0.021484375,0.11393651159758593
OpenGVLab/InternVL3_5-8B-Instant,Environment-Aware,env_how,4way,512,0.328125,0.03515625,0.12265796727645388
OpenGVLab/InternVL3_5-8B-Instant,Environment-Aware,env_how,8way,512,0.287109375,0.015625,0.10589469252621683
OpenGVLab/InternVL3_5-8B-Thinking,Self-Aware,self_where,4way,138,0.2608695652173913,0.16666666666666666,0.27573391553149235
OpenGVLab/InternVL3_5-8B-Thinking,Self-Aware,self_where,8way,138,0.2463768115942029,0.21014492753623187,0.2907465594621117
OpenGVLab/InternVL3_5-8B-Thinking,Self-Aware,self_what,4way,138,0.18840579710144928,0.15942028985507245,0.2523802397487341
OpenGVLab/InternVL3_5-8B-Thinking,Self-Aware,self_what,8way,138,0.18840579710144928,0.1956521739130435,0.2935268752943471
OpenGVLab/InternVL3_5-8B-Thinking,Environment-Aware,env_where,4way,138,0.3333333333333333,0.0,0.08085008545870159
OpenGVLab/InternVL3_5-8B-Thinking,Environment-Aware,env_where,8way,138,0.2971014492753623,0.050724637681159424,0.1007194584783281
OpenGVLab/InternVL3_5-8B-Thinking,Environment-Aware,env_how,4way,138,0.3115942028985507,0.028985507246376812,0.08567085899929897
